
 Topock, CA (113 degrees! Got out of there as quick as possible) [#1]
 Flagstaff, AZ (freezing cold pool, black room, picnic in the garden) [#2]
 Santa Fe, NM (New Mexican feel down a lane covered with flowers…Sage sleeps in tent next to big fireplace) [#3]
 Childress, TX (so grubby and discouraging) [#4]
 Shreveport, LA (Margaritaville, huge bright room, but pool closed at 6pm) [#5]
 New Orleans, LA (so loud just off bourbon street with twerking) [#6]
 Tallahassee, FL (red place) [#7]
 Lakewood Ranch, FL (Babs!) [#8]
 Ft. Lauderdale, FL (green place, wildlife popped in pool) [#9]
 Clearwater, FL (gorgeous condo pool just outside apartment. Sage slept on floor off the bathroom) [#10]
 Savannah, GA (old house, uneven wood flour..  Sage on news with heat dome) [#11]
 Raleigh, NC (amazing house walking distance to town. Saw Zareen, beer in park, dinner & cookies with Doug) [#12]
 Hampton, VA (hotel with happy hour in big atrium and cooked to order breakfast, slimy pool) [#13]
 East Orange, NJ (met someone from San Carlos in parking lot) [#14]
 Manhattan, NY (Margaritaville with 6th floor rooftop pool) [#15]
 North Luffenham (Pops) [#16]
 North Luffenham (Nat) [#17]
 Horsford (Sylvia) [#18]
 The Lanes, Brighton (we had covid, and it was rainy, cold, and windy!) [#19]
 Northborough (churchy feel - Adam couldn’t sleep - , nice hosts. Sent us with crumble) [#20]
 Peterborough Hospital [#21]
 Greetham, Oakham (sparse cabin at the golf course - so much fun doing laundry) [#22]
 South Luffenham (Nat again) [#23]
 Robbinsville, NJ (Hilton, AAA changed battery at 6am, then we had breakfast) [#24]
 Annapolis, MD (Hilton, but breakfast not as good) [#25]
 Cary, NC (hotel near airport, dinner with Chris Robison & wife) [#26]
 Hilton Head, SC [#27]
 St. Petersburg, FL (pushed back flight because Sage was in the hospital, repacked car) [#28]
 Jewel Box, San Carlos (Buzz & Shirley) [#29]
 San Diego, CA (hotel near Ben with breakfast) [#30]
 Encinitas, CA (with Roemers) [#31]
 San Diego, CA (same hotel near Ben, different room) [#32]
 Seattle, WA (two-story condo with stained carpet) [#33]
 Portland, OR (with high ceilings, upstairs unit, stomach bug) [#34]
 Tampa, FL (awesome room with balcony overlooking marina) [#35]
 Lakewood Ranch, FL (Babs again)  [#36]
 Brunswick, GA (hotel where conceived of mini book series) [#37]
 Charleston, GA (with rooftop lounge) [#38]
 Bahia Del Mar (Christmas. Awesome running loop, coffee on patio with Peta, rogue teenage fisherman), FL [#39]
 Largo, FL (with big kids) [#40]
 Ft. Lauderdsle, FL (dark place) [#41]
 Ft. Lauderdale, FL (Deb’s place, like 5-star hotel) [#42]
 Ft. Lauderdale, FL (with outside projector & orange patio furniture) [#43]
 Ft Lauderdale, FL (grubby, second floor apartment with 4am trash pick-up) [#44]
 Lakewood Ranch, FL (with Babs) [#45]
 Fort Lauderdale, FL (3br staging house, Hatto!) [#46]
